"Analysis of XPS data","subClassOf","Process"
"Analysis of XPS data","hasSoftwareConfiguration","Auger Scan-2 software"
"Analysis of XPS data","hasInputData","Data gathered"
"Analysis of XPS data","hasInputData","Si 2p binding energies"
"Analysis of XPS data","hasNotes","employs a linear least squares optimization with a simplex peak-fitting algorithm"
"employs a linear least squares optimization with a simplex peak-fitting algorithm","asString","employs a linear least squares optimization with a simplex peak-fitting algorithm"
"Analysis of XPS data","hasNotes","The Si-2p peak is fitted with a symmetrical Gaussian fit"
"The Si-2p peak is fitted with a symmetrical Gaussian fit","asString","The Si-2p peak is fitted with a symmetrical Gaussian fit"
"Calculation of stoichiometric formula SiO x","subClassOf","Process"
"Calculation of stoichiometric formula SiO x","hasInputData","oxidation state of silicon"
"Calculation of stoichiometric formula SiO x","hasInputData","peak intensity"
"Calculation of stoichiometric formula SiO x","hasOutputData","stoichiometric formula SiO x"
"Calculation of stoichiometric formula SiO x","hasNotes","x = (sum(n_i * H_i)) / (sum(H_i))"
"x = (sum(n_i * H_i)) / (sum(H_i))","asString","x = (sum(n_i * H_i)) / (sum(H_i))"
"Analysis of breakdown data","subClassOf","Process"
"Analysis of breakdown data","hasInputData","breakdown data"
"Analysis of breakdown data","hasOutputData","stochastic parameters"
"Analysis of breakdown data","hasNotes","A conventional 2-parameter Weibull distribution was used"
"A conventional 2-parameter Weibull distribution was used","asString","A conventional 2-parameter Weibull distribution was used"
"Analysis of breakdown data","hasNotes","P = 1 - exp(-(E/E_0)^b)"
"P = 1 - exp(-(E/E_0)^b)","asString","P = 1 - exp(-(E/E_0)^b)"
"Calculation of tip stress","subClassOf","Process"
"Calculation of tip stress","hasInputData","applied voltage"
"Calculation of tip stress","hasInputData","tip radius"
"Calculation of tip stress","hasInputData","inter-electrode distance"
"Calculation of tip stress","hasOutputData","tip stress"
"Calculation of tip stress","hasNotes","E = 2V / (r * ln(4d/r))"
"E = 2V / (r * ln(4d/r))","asString","E = 2V / (r * ln(4d/r))"
"Calculation of predicted permittivity using the Lichtenecker–Rother logarithmic formula","subClassOf","Process"
"Calculation of predicted permittivity using the Lichtenecker–Rother logarithmic formula","hasOutputData","predicted permittivity of composites"
"Calculation of predicted permittivity using Maxwell–Garnet random mixing formula","subClassOf","Process"
"Calculation of predicted permittivity using Maxwell–Garnet random mixing formula","hasOutputData","predicted permittivity of composites"
"Calculation of predicted permittivity using Landau–Lifshitz power law formula","subClassOf","Process"
"Calculation of predicted permittivity using Landau–Lifshitz power law formula","hasOutputData","predicted permittivity of composites"
"Calculation of predicted permittivity using Landau–Lifshitz power law formula","hasNotes","with a power factor (exponential term in power law equation) of 1/3"
"with a power factor (exponential term in power law equation) of 1/3","asString","with a power factor (exponential term in power law equation) of 1/3"
"Calculation of activation energy for the low frequency dispersion","subClassOf","Process"
"Calculation of activation energy for the low frequency dispersion","hasInputData","imaginary part of the frequency spectra"
"Calculation of activation energy for the low frequency dispersion","hasOutputData","activation energy for the low frequency dispersion"
"Calculation of activation energy for the low frequency dispersion","hasNotes","by the normalization method by shifting the imaginary part of the frequency spectra laterally and then determining the frequency shift required to bring the curves into coincidence"
"by the normalization method by shifting the imaginary part of the frequency spectra laterally and then determining the frequency shift required to bring the curves into coincidence","asString","by the normalization method by shifting the imaginary part of the frequency spectra laterally and then determining the frequency shift required to bring the curves into coincidence"
"Evaluation of trap depth","subClassOf","Process"
"Evaluation of trap depth","hasOutputData","trap depth"
"Evaluation of trap depth","hasNotes","using the ‘initial rise method’"
"using the ‘initial rise method’","asString","using the ‘initial rise method’"
"Evaluation of trap depth","hasNotes","determined from the slope of an Arrhenius plot"
"determined from the slope of an Arrhenius plot","asString","determined from the slope of an Arrhenius plot"
"Estimation of mobility of the charge carriers","subClassOf","Process"
"Estimation of mobility of the charge carriers","hasInputData","sample thickness"
"Estimation of mobility of the charge carriers","hasInputData","time at which absorption current is at its maximum"
"Estimation of mobility of the charge carriers","hasInputData","applied voltage"
"Estimation of mobility of the charge carriers","hasOutputData","mobility of the charge carriers"
"Estimation of mobility of the charge carriers","hasNotes","using the method documented by Malec et al. [14]"
"using the method documented by Malec et al. [14]","asString","using the method documented by Malec et al. [14]"
"Estimation of mobility of the charge carriers","hasNotes","l = 0.786 * d^2 / (t_p * V)"
"l = 0.786 * d^2 / (t_p * V)","asString","l = 0.786 * d^2 / (t_p * V)"
"Analysis of breakdown strength dependent on size of the defect","subClassOf","Process"
"Analysis of breakdown strength dependent on size of the defect","hasInputData","breakdown data"
"Analysis of breakdown strength dependent on size of the defect","hasOutputData","information about the size of the defects"
"Analysis of breakdown strength dependent on size of the defect","hasNotes","by replotting the breakdown data in the form of ln(–ln[1 – P F ]) versus 1/E"
"by replotting the breakdown data in the form of ln(–ln[1 – P F ]) versus 1/E","asString","by replotting the breakdown data in the form of ln(–ln[1 – P F ]) versus 1/E"
