"Experiment on silica/XLPE nanodielectrics","hasLocation","Rensselaer Polytechnic Institute, Troy, NY 12180, USA"
"Experiment on silica/XLPE nanodielectrics","hasLocation","University of Leicester, UK"
"Experiment on silica/XLPE nanodielectrics","hasFunding","Electric Power Research Institute"
"Experiment on silica/XLPE nanodielectrics","hasProcess","melt mixing"
"Experiment on silica/XLPE nanodielectrics","hasProcess","hot pressing"
"Experiment on silica/XLPE nanodielectrics","hasProcess","vacuum post-curing"
"Experiment on silica/XLPE nanodielectrics","hasProcess","gold sputtering"
"Experiment on silica/XLPE nanodielectrics","hasProcess","post-cure annealing"
"Experiment on silica/XLPE nanodielectrics","hasProcess","compounding"
"Experiment on silica/XLPE nanodielectrics","hasProcess","cryo-crushing"
"Experiment on silica/XLPE nanodielectrics","hasProcess","argon cleaning"
"Experiment on silica/XLPE nanodielectrics","hasProcess","platinum sputtering"
"Experiment on silica/XLPE nanodielectrics","hasProcess","pulsed electroacoustic measurement"
"Experiment on silica/XLPE nanodielectrics","hasCollection","Polyethylene–SiO2 composites"
"Experiment on silica/XLPE nanodielectrics","hasCollection","XLPE"
"Experiment on silica/XLPE nanodielectrics","hasCollection","nanosilica"
"Experiment on silica/XLPE nanodielectrics","hasCollection","microsilica"
"Experiment on silica/XLPE nanodielectrics","hasCollection","untreated nanosilica"
"Experiment on silica/XLPE nanodielectrics","hasCollection","triethoxyvinylsilane (TES) treated nanosilica"
"Experiment on silica/XLPE nanodielectrics","hasCollection","n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS) treated nanosilica"
"Experiment on silica/XLPE nanodielectrics","hasCollection","hexamethyldisilazane (HMDS) treated nanosilica"
"Experiment on silica/XLPE nanodielectrics","hasData","Electron Paramagnetic Resonance (EPR) spectra"
"Experiment on silica/XLPE nanodielectrics","hasData","X-ray Photoelectron Spectroscopy (XPS) data"
"Experiment on silica/XLPE nanodielectrics","hasData","DC breakdown strength"
"Experiment on silica/XLPE nanodielectrics","hasData","withstand strength"
"Experiment on silica/XLPE nanodielectrics","hasData","Long-term voltage endurance tests"
"Experiment on silica/XLPE nanodielectrics","hasData","Dielectric spectroscopic measurements"
"Experiment on silica/XLPE nanodielectrics","hasData","Thermally stimulated current (TSC) measurements"
"Experiment on silica/XLPE nanodielectrics","hasData","Absorption current measurements"
"Experiment on silica/XLPE nanodielectrics","hasData","Space charge measurements"
"Experiment on silica/XLPE nanodielectrics","hasData","characteristic breakdown strength"
