"compounding,hasPrerequisiteProcess,vacuum drying"
"slow cooling,hasPrerequisiteProcess,hot pressing"
"post-curing,"hasProduct, hasWaste",cross-linking byproducts"
"metallization,"hasProduct, hasWaste",gold"
"aggregate size measurement,hasEquipment,scanning electron microscopy"
"Electron Paramagnetic Resonance,hasEquipment,Bruker ER 042 EPR spectrometer"
"magnetic field measurement,hasEquipment,Walker Hall probe Tesla meter"
"X-ray Photoelectron Spectroscopy,hasEquipment,Perkin Elmer (Model # 5500)"
"XPS data analysis,hasEquipment,Auger Scan-2 software"
"DC breakdown strength measurement,hasEquipment,high-voltage source"
"DC breakdown strength measurement,hasEquipment,thermostatically controlled enclosure"
"Dielectric spectroscopic measurements,hasEquipment,Novocontrol Alpha Analyzer (type K)"
"Dielectric spectroscopic measurements,hasEquipment,Novocontrol active BDS-1200 sample cell"
"Absorption current measurements,hasEquipment,Keithley 8009 Resistivity Test Fixture"
"post-curing,hasLocation,vacuum"
"Absorption current measurements,hasLocation,room temperature"
