"XPS analysis,hasSoftwareConfiguration,"Auger Scan-2 software"
"XPS analysis,hasType,"linear least squares optimization"
"XPS analysis,hasType,"simplex peak-fitting algorithm"
"XPS analysis,hasCondition,"four oxidation states of silicon"
"XPS analysis,hasInputData,"Si 2p binding energies"
"XPS analysis,hasCitation,"[17]"
"XPS analysis,hasType,"symmetrical Gaussian fit"
"Stoichiometric formula calculation,hasPrerequisiteComputation,"XPS analysis"
"Stoichiometric formula calculation,hasInputData,"peak intensity (H)"
"Stoichiometric formula calculation,hasInputData,"oxidation state of silicon (n)"
"Stoichiometric formula calculation,hasOutputData,"stoichiometric formula SiO x"
"Breakdown data analysis,hasType,"2-parameter Weibull distribution"
"Breakdown data analysis,hasInputData,"breakdown data"
"Breakdown data analysis,hasOutputData,"shape parameter (b)"
"Breakdown data analysis,hasOutputData,"scale parameter (E_0)"
"Breakdown data analysis,hasCondition,"Temperature: 25 C"
"Breakdown data analysis,hasCondition,"Temperature: 60 C"
"Breakdown data analysis,hasCondition,"Temperature: 70 C"
"Breakdown data analysis,hasCondition,"Temperature: 80 C"
"Tip stress calculation,hasInputData,"applied voltage (V)"
"Tip stress calculation,hasInputData,"tip radius (r)"
"Tip stress calculation,hasInputData,"inter-electrode distance (d)"
"Tip stress calculation,hasCitation,"[1]"
"Tip stress calculation,hasOutputData,"tip stress (E)"
"Activation energy calculation,hasType,"normalization method"
"Activation energy calculation,hasInputData,"imaginary part of the frequency spectra"
"Activation energy calculation,hasCitation,"[24]"
"Activation energy calculation,hasOutputData,"activation energy"
"Trap depth evaluation,hasType,"initial rise method"
"Trap depth evaluation,hasCitation,"[26]"
"Trap depth evaluation,hasCondition,"Temperature range of 0.95–0.98 T m"
"Trap depth evaluation,hasType,"Arrhenius plot slope determination"
"Trap depth evaluation,hasOutputData,"trap depth"
"Charge carrier mobility estimation,hasType,"method documented by Malec et al."
"Charge carrier mobility estimation,hasCitation,"[14]"
"Charge carrier mobility estimation,hasInputData,"sample thickness (d)"
"Charge carrier mobility estimation,hasInputData,"time at which absorption current is at its maximum (t_p)"
"Charge carrier mobility estimation,hasInputData,"applied voltage (V)"
"Charge carrier mobility estimation,hasOutputData,"mobility of the charge carriers (l)"
"Charge carrier mobility estimation,hasCondition,"field range of 0.1–9 kV/mm"
"Defect size-dependent breakdown analysis,hasType,"analysis based on chain scission mechanism"
"Defect size-dependent breakdown analysis,hasCitation,"[31]"
"Defect size-dependent breakdown analysis,hasCitation,"[15]"
"Defect size-dependent breakdown analysis,hasInputData,"breakdown data"
"Defect size-dependent breakdown analysis,hasType,"replotting of breakdown data as ln(–ln[1 – PF]) versus 1/E"
"Defect size-dependent breakdown analysis,hasOutputData,"size of the defects"
"Defect size-dependent breakdown analysis,hasPrerequisiteComputation,"Breakdown data analysis"
