"XPS data analysis","hasSoftwareConfiguration","Auger Scan-2 software"
"XPS data analysis","hasExperiment","XPS analysis"
"XPS data analysis","hasType","peak-fitting algorithm"
"peak-fitting algorithm","asString","peak-fitting algorithm"
"XPS data analysis","hasType","linear least squares optimization"
"linear least squares optimization","asString","linear least squares optimization"
"XPS data analysis","""hasInputData","hasOutputData"",XPS data"
"SiO_x calculation","hasPrerequisiteComputation","XPS data analysis"
"SiO_x calculation","hasNotes","notes_for_siox_calculation"
"notes_for_siox_calculation","asString","""The stoichiometric formula SiO x was calculated using the formula: x = (Sum(n*i*H*i)) / (Sum(H*i)), where n is the oxidation state of silicon and H is the peak intensity."""
"SiO_x calculation","""hasInputData","hasOutputData"",peak intensity"
"SiO_x calculation","""hasInputData","hasOutputData"",stoichiometric formula SiO_x"
"Weibull analysis of breakdown data","hasType","statistical analysis"
"statistical analysis","asString","statistical analysis"
"Weibull analysis of breakdown data","hasExperiment","DC breakdown strength measurement"
"Weibull analysis of breakdown data","hasCitation","""Dissado LA, Fothergill JC (1992) Electrical degradation and breakdown in polymers. Peter Peregrinus Ltd"""
"Weibull analysis of breakdown data","hasNotes","notes_for_weibull_analysis"
"notes_for_weibull_analysis","asString","""The cumulative probability P of the electrical failure takes the form of: P = 1 - exp(-(E/E0)^b), where b is a shape parameter and E0 is a scale parameter that represents the breakdown strength at the cumulative failure probability of 63.2%."""
"Weibull analysis of breakdown data","""hasInputData","hasOutputData"",breakdown data"
"Weibull analysis of breakdown data","""hasInputData","hasOutputData"",shape parameter b"
"Weibull analysis of breakdown data","""hasInputData","hasOutputData"",scale parameter E0"
"tip stress calculation","hasCitation","""Nelson J, Fothergill JC (2004) Nanotechnology 15:586"""
"tip stress calculation","hasNotes","notes_for_tip_stress_calculation"
"notes_for_tip_stress_calculation","asString","""The tip stress, E, was calculated from the applied voltage using the relationship: E = 2V / (r ln(4d/r))"""
"tip stress calculation","""hasInputData","hasOutputData"",applied voltage"
"tip stress calculation","""hasInputData","hasOutputData"",tip radius r"
"tip stress calculation","""hasInputData","hasOutputData"",inter-electrode distance d"
"tip stress calculation","""hasInputData","hasOutputData"",tip stress E"
"activation energy calculation (dielectric)","hasType","normalization method"
"normalization method","asString","normalization method"
"activation energy calculation (dielectric)","hasExperiment","Dielectric spectroscopic measurements"
"activation energy calculation (dielectric)","hasCitation","""Jonscher AK (1983) Dielectric relaxation of solids. Chelsea Dielectric Press"""
"activation energy calculation (dielectric)","""hasInputData","hasOutputData"",imaginary part of the frequency spectra"
"activation energy calculation (dielectric)","""hasInputData","hasOutputData"",activation energy"
"trap depth calculation","hasType","initial rise method"
"initial rise method","asString","initial rise method"
"trap depth calculation","hasExperiment","TSC measurements"
"trap depth calculation","hasCitation","""Maeta S, Sakaguchi K (1980) Jpn J Appl Phys 19/3:519"""
"trap depth calculation","hasCondition","temperature range of 0.95–0.98 Tm"
"trap depth calculation","hasNotes","notes_for_trap_depth_calculation"
"notes_for_trap_depth_calculation","asString","""The trap depth was determined from the slope of an Arrhenius plot."""
"trap depth calculation","""hasInputData","hasOutputData"",TSC spectra"
"trap depth calculation","""hasInputData","hasOutputData"",trap depth"
"charge carrier mobility calculation","hasExperiment","Absorption current measurements"
"charge carrier mobility calculation","hasCitation","""Malec D, Truong H, Essolbi R, Hoand TG (1998) IEEE Trans Diel Elect Insul 5/2:301"""
"charge carrier mobility calculation","hasNotes","notes_for_mobility_calculation"
"notes_for_mobility_calculation","asString","""l = 0.786 * d^2 / (t_p * V), where l is the mobility of the charge carriers, d is the sample thickness, t_p is the time at which absorption current is at its maximum (peak), and V is the applied voltage."""
"charge carrier mobility calculation","""hasInputData","hasOutputData"",sample thickness d"
"charge carrier mobility calculation","""hasInputData","hasOutputData"",""time at which absorption current is at its maximum t_p"""
"charge carrier mobility calculation","""hasInputData","hasOutputData"",""applied voltage V"""
"charge carrier mobility calculation","""hasInputData","hasOutputData"",""mobility of the charge carriers l"""
"charge injection onset field determination","hasExperiment","pulsed electroacoustic analysis"
"charge injection onset field determination","hasCitation","""Raju GG (2003) Dielectrics in electric fields. Marcel Dekker, New York"""
"charge injection onset field determination","""hasInputData","hasOutputData"",image charge versus applied field data"
"charge injection onset field determination","""hasInputData","hasOutputData"",onset field for charge injection"
"defect size analysis","hasPrerequisiteComputation","Weibull analysis of breakdown data"
"defect size analysis","hasExperiment","DC breakdown strength measurement"
"defect size analysis","hasType","chain scission mechanism analysis"
"chain scission mechanism analysis","asString","chain scission mechanism analysis"
"defect size analysis","hasCitation","""Roy M, Nelson JK, MacCrone RK, Schadler LS, Reed CW, Keefe R, Zenger W (2005) IEEE Trans Diel Elect Insul 12:629"""
"defect size analysis","hasNotes","notes_for_defect_size_analysis"
"notes_for_defect_size_analysis","asString","""Replotting the breakdown data in the form of ln(–ln[1 – PF]) versus 1/E should give information about the size of the defects, where the slope of the fitted line represents the size of the defects."""
"defect size analysis","""hasInputData","hasOutputData"",breakdown data"
"defect size analysis","""hasInputData","hasOutputData"",slope representing defect size"
"oxygen radical content monitoring","hasExperiment","EPR spectroscopy"
"oxygen radical content monitoring","""hasInputData","hasOutputData"",normalized EPR spectra"
"oxygen radical content monitoring","""hasInputData","hasOutputData"",oxygen radical content"
