"study of silica/XLPE nanodielectrics,hasData,DC breakdown strength"
"study of silica/XLPE nanodielectrics,hasData,voltage endurance"
"study of silica/XLPE nanodielectrics,hasData,dielectric spectroscopy"
"study of silica/XLPE nanodielectrics,hasData,absorption current measurements"
"study of silica/XLPE nanodielectrics,hasData,thermally stimulated current (TSC) determinations"
"study of silica/XLPE nanodielectrics,hasData,Electron Paramagnetic Resonance (EPR) spectra"
"study of silica/XLPE nanodielectrics,hasData,X-ray Photoelectron Spectroscopy (XPS)"
"study of silica/XLPE nanodielectrics,hasData,space charge measurements"
"study of silica/XLPE nanodielectrics,hasCollection,Polyethylene–SiO2 composites"
"study of silica/XLPE nanodielectrics,hasCollection,cross-linked polyethylene (XLPE)"
"study of silica/XLPE nanodielectrics,hasCollection,micron scale silica composites"
"study of silica/XLPE nanodielectrics,hasCollection,nanoscale silica composites"
"study of silica/XLPE nanodielectrics,hasCollection,untreated nanosilica composites"
"study of silica/XLPE nanodielectrics,hasCollection,triethoxyvinylsilane (TES) treated nanosilica composites"
"study of silica/XLPE nanodielectrics,hasCollection,n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS) treated nanosilica composites"
"study of silica/XLPE nanodielectrics,hasCollection,hexamethyldisilazane (HMDS) treated nanosilica composites"
"study of silica/XLPE nanodielectrics,hasProcess,melt mixing"
"study of silica/XLPE nanodielectrics,hasProcess,hot pressing"
"study of silica/XLPE nanodielectrics,hasProcess,post-curing under vacuum"
"study of silica/XLPE nanodielectrics,hasProcess,gold sputtering"
"study of silica/XLPE nanodielectrics,hasProcess,cryo-crushing"
"study of silica/XLPE nanodielectrics,hasProcess,Electron Paramagnetic Resonance (EPR) spectroscopy"
"study of silica/XLPE nanodielectrics,hasProcess,X-ray Photoelectron Spectroscopy (XPS)"
"study of silica/XLPE nanodielectrics,hasProcess,Dielectric spectroscopy"
"study of silica/XLPE nanodielectrics,hasProcess,Thermally stimulated current (TSC) measurement"
"study of silica/XLPE nanodielectrics,hasProcess,Absorption current measurement"
"study of silica/XLPE nanodielectrics,hasProcess,pulsed electroacoustic analysis"
"study of silica/XLPE nanodielectrics,hasFunding,Electric Power Research Institute"
"study of silica/XLPE nanodielectrics,hasLocation,Rensselaer Polytechnic Institute"
"study of silica/XLPE nanodielectrics,hasLocation,University of Leicester"
"study of silica/XLPE nanodielectrics,hasEnvironment,vacuum"
"study of silica/XLPE nanodielectrics,hasEnvironment,25 °C"
"study of silica/XLPE nanodielectrics,hasEnvironment,60 °C"
"study of silica/XLPE nanodielectrics,hasEnvironment,70 °C"
"study of silica/XLPE nanodielectrics,hasEnvironment,80 °C"
"study of silica/XLPE nanodielectrics,hasEnvironment,room temperature (298 ± 3 K)"
"study of silica/XLPE nanodielectrics,hasCitation,Nelson J, Fothergill JC (2004) Nanotechnology 15:586"
"study of silica/XLPE nanodielectrics,hasCitation,Ma D, Siegel RW, Hong JI, Schadler LS, Ma˚rtensson E, O¨nneby C (2004) J Mater Res 19(3):857"
"study of silica/XLPE nanodielectrics,hasCitation,Nelson JK, Hu Y (2005) J Phys D (Appl Phys) 38:213"
"study of silica/XLPE nanodielectrics,hasCitation,Nelson JK, Fothergill JC, Dissado LA, Peasgood W (2002) In: Proceedings of the conference on Elec Insul & Dielec Phenom, IEEE, Mexico, pp 295–298"
"study of silica/XLPE nanodielectrics,hasCitation,Montanari GC, Fabiani D, Palmieri F, Kaempfer D, Thomann R, Mulhaupt R (2004) IEEE Trans Diel Elect Insul 11(5):754"
"study of silica/XLPE nanodielectrics,hasCitation,Ajayan PM, Braun PV, Schadler LS (2003) In: Nanocomposite Science and Technology, Wiley-VCH Verlag, GmbH&Co. KgaA, Weinham"
"study of silica/XLPE nanodielectrics,hasCitation,Tanaka T, Montanari GC, Mu¨lhaupt R (2004) IEEE Trans Diel Elect Insul 11/5:763"
"study of silica/XLPE nanodielectrics,hasCitation,Lewis TJ (1994) IEEE Trans Diel Elect Insul 1:812"
"study of silica/XLPE nanodielectrics,hasCitation,Lewis TJ (2004) IEEE Trans Diel Elect Insul 11:739"
"study of silica/XLPE nanodielectrics,hasCitation,Fujita F, Ruike M, Baba M (1996) Conference record of the 1996. IEEE Intl Symp Elec Ins, IEEE, San Francisco 2:738"
"study of silica/XLPE nanodielectrics,hasCitation,Khalil MS, Henk PO, Henriksen M (1990) Conference record of the 1990 IEEE International Symp on Elec. Insul; IEEE, Montreal, Canada, p 268"
"study of silica/XLPE nanodielectrics,hasCitation,Fothergill JC, Nelson JK, Fu M (2004) Proceedings of the IEEE Conf on Elect Insul & Diel Phenom, CEIDP, Oct. 17– 20. pp 406–409"
"study of silica/XLPE nanodielectrics,hasCitation,Ma D, Akpalu YA, Li Y, Siegel RW, Schadler LS (2005) J Polym Sci Part B Polym Phys 43(5):463"
"study of silica/XLPE nanodielectrics,hasCitation,Malec D, Truong H, Essolbi R, Hoand TG (1998) IEEE Trans Diel Elect Insul 5/2:301"
"study of silica/XLPE nanodielectrics,hasCitation,Roy M, Nelson JK, MacCrone RK, Schadler LS, Reed CW, Keefe R, Zenger W (2005) IEEE Trans Diel Elect Insul 12:629"
"study of silica/XLPE nanodielectrics,hasCitation,Lunsford JH (1973) Catal Rev 8(1):135"
"study of silica/XLPE nanodielectrics,hasCitation,Canet D (1996) Nuclear magnetic resonance: concepts and methods. John Wiley & Sons Inc., Chichester, New York"
"study of silica/XLPE nanodielectrics,hasCitation,Dissado LA, Fothergill JC (1992) Electrical degradation and breakdown in polymers. Peter Peregrinus Ltd"
"study of silica/XLPE nanodielectrics,hasCitation,Ieda M, Mizutani T, Suzuoki Y (1980) Polymers, Memoirs of the Faculty of Engineering, Nagoya University, 32/2"
"study of silica/XLPE nanodielectrics,hasCitation,Peacock JA (2000) Handbook of polyethylene: structures, properties and applications. Marcel Dekker, New York"
"study of silica/XLPE nanodielectrics,hasCitation,Lichtenecker K, Rother K (1931) Phys Zeit 32:255"
"study of silica/XLPE nanodielectrics,hasCitation,Maxwell-Ganet JC (1904) Philos Trans Roy Soc Lond Ser A 203:385"
"study of silica/XLPE nanodielectrics,hasCitation,Landau LD, Lifshitz EM (1984) Electrodynamics of continuous media, 2nd edn. Pergamon Press, Oxford"
"study of silica/XLPE nanodielectrics,hasCitation,Jonscher AK (1983) Dielectric relaxation of solids. Chelsea Dielectric Press"
"study of silica/XLPE nanodielectrics,hasCitation,O’Konski J (1960) J Phys Chem 64:605"
"study of silica/XLPE nanodielectrics,hasCitation,Maeta S, Sakaguchi K (1980) Jpn J Appl Phys 19/3:519"
"study of silica/XLPE nanodielectrics,hasCitation,Van Turnhout J (1975) Thermally stimulated discharge for polymer electrets. Elsevier, Amsterdam"
"study of silica/XLPE nanodielectrics,hasCitation,Raju GG (2003) Dielectrics in electric fields. Marcel Dekker, New York"
"study of silica/XLPE nanodielectrics,hasCitation,Many A, Rakavy G (1962) Theory of transient-space-charge-limited currents in solids in the presence of trapping. Phys Rev 126/6:1980"
"study of silica/XLPE nanodielectrics,hasCitation,Roy M, Nelson JK, Schadler LS, Zou C, Fothergill JC (2005) Ann Rep conf on Electrical Insulation and Dielectric Phenomenon, IEEE, pp 183–186"
"study of silica/XLPE nanodielectrics,hasCitation,Artbauer J (1996) J Phys D Appl Phys 29:446"
"study of silica/XLPE nanodielectrics,hasComputation,Auger Scan-2 software"
"study of silica/XLPE nanodielectrics,hasComputation,linear least squares optimization"
"study of silica/XLPE nanodielectrics,hasComputation,simplex peak-fitting algorithm"
"study of silica/XLPE nanodielectrics,hasComputation,2-parameter Weibull distribution analysis"
"study of silica/XLPE nanodielectrics,hasComputation,Lichtenecker–Rother logarithmic formula"
"study of silica/XLPE nanodielectrics,hasComputation,Maxwell–Garnet random mixing formula"
"study of silica/XLPE nanodielectrics,hasComputation,Landau–Lifshitz power law formula"
"study of silica/XLPE nanodielectrics,hasComputation,normalization method for activation energy calculation"
"study of silica/XLPE nanodielectrics,hasComputation,initial rise method for trap depth evaluation"
