"Breakdown strength","isMeasuredUnderCondition","Temperature: 25 °C"
"Breakdown strength","isMeasuredUnderCondition","Temperature: 60 °C"
"Breakdown strength","isMeasuredUnderCondition","Temperature: 70 °C"
"Breakdown strength","isMeasuredUnderCondition","Temperature: 80 °C"
"Breakdown strength","isMeasuredUnderCondition","ramp rate: 500 V/s"
"Voltage endurance","isMeasuredUnderCondition","frequency: 60 Hz"
"Dielectric permittivity","isMeasuredUnderCondition","Temperature: 25 °C"
"Dielectric permittivity","isMeasuredUnderCondition","Temperature: 60 °C"
"Dielectric permittivity","isMeasuredUnderCondition","Temperature: 70 °C"
"Dielectric permittivity","isMeasuredUnderCondition","Temperature: 80 °C"
"loss tangent","isMeasuredUnderCondition","Temperature: 25 °C"
"loss tangent","isMeasuredUnderCondition","Temperature: 60 °C"
"loss tangent","isMeasuredUnderCondition","Temperature: 70 °C"
"loss tangent","isMeasuredUnderCondition","Temperature: 80 °C"
"Thermally stimulated current","isMeasuredUnderCondition","Poling temperature: 60 °C"
"Thermally stimulated current","isMeasuredUnderCondition","temperature ramp rate: 2 °C/min"
"Thermally stimulated current","isMeasuredUnderCondition","temperature range: 40 °C to 100 °C"
"Absorption current","isMeasuredUnderCondition","temperature: room temperature"
"Absorption current","isMeasuredUnderCondition","applied field: 2 kV/mm"
"Absorption current","isMeasuredUnderCondition","electric field range: 10⁵ V/m to 3 * 10⁷ V/m"
"Absorption current","isMeasuredUnderCondition","time: 10⁴ s"
"Carrier mobility","isMeasuredUnderCondition","field range: 0.1-9 kV/mm"
"Dielectric permittivity","isMeasuredUnderCondition","frequency range: 10⁻³ Hz to 10⁶ Hz"
"loss tangent","isMeasuredUnderCondition","frequency range: 10⁻³ Hz to 10⁶ Hz"
