"this_paper","hasTitle","Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics"
"this_paper","hasAuthor","author:Mihir_Roy"
"author:Mihir_Roy","asString","Mihir Roy"
"this_paper","hasAuthor","author:J_Keith_Nelson"
"author:J_Keith_Nelson","asString","J. Keith Nelson"
"this_paper","hasAuthor","author:R_K_MacCrone"
"author:R_K_MacCrone","asString","R. K. MacCrone"
"this_paper","hasAuthor","author:L_S_Schadler"
"author:L_S_Schadler","asString","L. S. Schadler"
"this_paper","hasPublicationYear","2007"
"this_paper","dcterms:publisher","publisher:Springer_Science+Business_Media_LLC"
"publisher:Springer_Science+Business_Media_LLC","asString","Springer Science+Business Media, LLC"
"this_paper","hasJournal","journal:J_Mater_Sci"
"journal:J_Mater_Sci","asString","J Mater Sci"
"this_paper",":volume","42"
"this_paper",";pageStart","3789"
"this_paper",":pageEnd","3799"
"this_paper",":doi","10.1007/s10853-006-0413-0"
"ref:1","hasAuthor","author:Nelson_J"
"author:Nelson_J","asString","Nelson J"
"ref:1","hasAuthor","author:Fothergill_JC"
"author:Fothergill_JC","asString","Fothergill JC"
"ref:1","hasPublicationYear","2004"
"ref:1","hasJournal","journal:Nanotechnology"
"journal:Nanotechnology","asString","Nanotechnology"
"ref:1",":volume","15"
"ref:1",";pageStart","586"
"ref:2","hasAuthor","author:Ma_D"
"author:Ma_D","asString","Ma D"
"ref:2","hasAuthor","author:Siegel_RW"
"author:Siegel_RW","asString","Siegel RW"
"ref:2","hasAuthor","author:Hong_JI"
"author:Hong_JI","asString","Hong JI"
"ref:2","hasAuthor","author:Schadler_LS_ref2"
"author:Schadler_LS_ref2","asString","Schadler LS"
"ref:2","hasAuthor","author:Martensson_E"
"author:Martensson_E","asString","Ma˚rtensson E"
"ref:2","hasAuthor","author:Onneby_C"
"author:Onneby_C","asString","O¨nneby C"
"ref:2","hasPublicationYear","2004"
"ref:2","hasJournal","journal:J_Mater_Res"
"journal:J_Mater_Res","asString","J Mater Res"
"ref:2",":volume","19"
"ref:2",";pageStart","857"
"ref:3","hasAuthor","author:Nelson_JK"
"author:Nelson_JK","asString","Nelson JK"
