"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasDOI","https://doi.org/10.1007/s10853-006-0413-0"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasAuthor","Mihir Roy"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasAuthor","J. Keith Nelson"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasAuthor","R. K. MacCrone"
"Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics","hasAuthor","L. S. Schadler"
"silica/XLPE nanodielectrics","hasComponent","silica nanoparticles"
"silica/XLPE nanodielectrics","hasComponent","cross-linked low density polyethylene"
"base polyethylene","hasComponent","antioxidants"
"base polyethylene","hasComponent","dicumyl peroxide"
"TES treated nanosilica","hasComponent","nanosilica"
"TES treated nanosilica","hasComponent","triethoxyvinylsilane"
"AEAPS treated nanosilica","hasComponent","nanosilica"
"AEAPS treated nanosilica","hasComponent","n-(2-aminoethyl) 3-aminopropyltrimethoxysilane"
"HMDS treated nanosilica","hasComponent","nanosilica"
"HMDS treated nanosilica","hasComponent","hexamethyldisilazane"
"untreated silica nanoparticles","hasComponent","oxygen"
"untreated silica nanoparticles","hasComponent","silicon"
"surface treated nanosilica","hasComponent","oxygen"
"surface treated nanosilica","hasComponent","silicon"
"surface treated nanosilica","hasComponent","nitrogen"
"nanoparticles","hasQuantity","5 wt%"
"sputtered gold","hasQuantity","~150 Å"
"particles","hasSamplePreparation","vacuum dried for 24 h"
"composites","hasSamplePreparation","melt mixing"
"samples","hasSamplePreparation","hot pressing"
"samples","hasSamplePreparation","slow cooling to room temperature"
"samples","hasSamplePreparation","post-cured under vacuum"
"electrical testing samples","hasSamplePreparation","metallized with ~150 Å of sputtered gold"
"EPR composite samples","hasSamplePreparation","cryo-crushing"
"XPS analysis","hasSoftwareConfiguration","Auger Scan-2"
"pulsed electroacoustic measurements","hasLocation","University of Leicester, UK"
"unfilled XLPE","hasProperty","Crystallinity: ~40%"
